name,category,url,code,imgurl,f
highcharter,r-package,http://jkunst.com/highcharter,http://github.com/jbkunst/highcharter,/images/projects/highcharter.jpg,f
rchess,r-package,http://jkunst.com/rchess,http://github.com/jbkunst/rchess,/images/projects/rchess.jpg,f
d3wordcloud,r-package,http://rpubs.com/jbkunst/133106,http://github.com/jbkunst/d3wordcloud,/images/projects/jbkunst-d3wordcloud.png,f
riskr,r-package,http://jkunst.com/riskr/,https://github.com/jbkunst/riskr,/images/projects/riskr.jpg,f
pokemon,viz,http://jkunst.com/flexdashboard-highcharter-examples/pokemon,http://github.com/jbkunst/flexdashboard-highcharter-examples/pokemon,http://rmarkdown.rstudio.com/flexdashboard/images/highcharter-pokemon.png,f
homeless,viz,http://jkunst.com/52vis/2016-14/index.html,https://github.com/jbkunst/52vis/tree/gh-pages/2016-14,https://raw.githubusercontent.com/jbkunst/52vis/gh-pages/2016-14/screenshot.jpg,f
